"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_2.5mm_Pad";4;"MountingHole_2.5mm_Pad";;;
2;"C1,C2,C4,C10,C11,C14,C15";"C_Rect_L7.0mm_W2.5mm_P5.00mm";7;"0.1uF";;;
3;"C3,C12";"CP_Radial_D5.0mm_P2.50mm";2;"10uF";;;
4;"C5,C6";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"100pF";;;
5;"C7";"CP_Radial_D5.0mm_P2.50mm";1;"1uF";;;
6;"C9,C13";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"0.001uF";;;
7;"C16";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.01uF";;;
8;"D1,D2,D3,D4,D5";"D_T-1_P5.08mm_Horizontal";5;"D";;;
9;"J1";"SolderWirePad_1x01_Drill1mm";1;"Trig_In";;;
10;"J2";"SolderWirePad_1x01_Drill1mm";1;"Gate_In";;;
11;"J3";"SolderWirePad_1x01_Drill1mm";1;"APT";;;
12;"J4";"SolderWirePad_1x01_Drill1mm";1;"RPT";;;
13;"J5";"SolderWirePad_1x01_Drill1mm";1;"PCM";;;
14;"J6";"SolderWirePad_1x01_Drill1mm";1;"DPT";;;
15;"J7";"SolderWirePad_1x01_Drill1mm";1;"TSW";;;
16;"J8";"SolderWirePad_1x01_Drill1mm";1;"SUS2";;;
17;"J9";"SolderWirePad_1x01_Drill1mm";1;"ADSR";;;
18;"J10";"SolderWirePad_1x01_Drill1mm";1;"SUS3";;;
19;"J12";"SolderWirePad_1x01_Drill1mm";1;"Manual_Gate";;;
20;"J13";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
21;"J14";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
22;"J15";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
23;"R1,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1K";;;
24;"R2,R3,R11,R12,R14,R18,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";7;"10K";;;
25;"R4,R13,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"100K";;;
26;"R5,R6,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"20K";;;
27;"R7,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1M";;;
28;"R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47K";;;
29;"R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2K";;;
30;"U1";"DIP-14_W7.62mm_Socket";1;"4066";;;
31;"U2";"DIP-8_W7.62mm_Socket";1;"TL082";;;
32;"U3";"DIP-14_W7.62mm_Socket";1;"CD40106";;;
33;"U4";"DIP-14_W7.62mm_Socket";1;"TL084";;;
34;"U5";"DIP-14_W7.62mm_Socket";1;"4001";;;
35;"C8";"CP_Radial_D5.0mm_P2.50mm";1;"15uF";;;
