"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
2;"R67,R64,R65,R66";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"47R";;;
3;"C18,C17";"CP_Radial_D6.3mm_P2.50mm";2;"22u";;;
4;"C1,C2,C3,C4";"CP_Radial_D6.3mm_P2.50mm";4;"100u";;;
5;"C5,C6,C7,C8";"CP_Radial_D6.3mm_P2.50mm";4;"10u";;;
6;"C9,C10,C11,C12";"CP_Radial_D6.3mm_P2.50mm";4;"47u";;;
7;"C13";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"100p";;;
8;"C14,C15,C16";"C_Rect_L7.0mm_W2.5mm_P5.00mm";3;"47p";;;
9;"J1";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"A_Format_In";;;
10;"J2,J3";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";2;"B_Form_Out";;;
11;"J4";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"PWR_OUT";;;
12;"J5";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"PWR_IN";;;
13;"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8";"TO-92L_Inline_Wide";8;"2N4403";;;
14;"R1,R2,R3,R4,R5,R6,R7,R8,R37,R38,R39,R40";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";12;"2k2";;;
15;"R9,R10,R11,R12,R21,R22,R23,R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";8;"15k";;;
16;"R13,R15,R17,R19,R25,R27,R29,R31,R33,R34,R35,R36";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";12;"100R";;;
17;"R14,R16,R18,R20,R26,R28,R30,R32";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";8;"18k";;;
18;"R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";16;"10k";;;
19;"R57,R58,R59,R61,R62,R63";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"56k";;;
20;"R60";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"20k";;;
21;"RV1,RV2,RV3,RV4";"Potentiometer_Runtron_RM-065_Vertical";4;"100R";;;
22;"U1,U2";"DIP-14_W7.62mm_Socket";2;"TL074";;;
