"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
2;"R58,R2,R4,R21,R22,R23,R24,R25,R51,R53,R55,R56,R57,R59,R60,R71,R76,R91,R92,R93,R94";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";21;"10k";;;
3;"U3,U2,U1";"DIP-14_W7.62mm_Socket";3;"TL074";;;
4;"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10";"C_Rect_L7.0mm_W2.5mm_P5.00mm";10;"100n";;;
5;"C11,C12,C13,C14,C15,C16,C17,C18,C19,C20";"C_Rect_L7.0mm_W2.5mm_P5.00mm";10;"4n7";;;
6;"C21,C22";"CP_Radial_D6.3mm_P2.50mm";2;"22u";;;
7;"J1";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"B_Form_In";;;
8;"J2";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"PWR_IN";;;
9;"J5";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Stereo_Out";;;
10;"R1,R3,R5,R27,R29,R61,R63,R65,R73,R78";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";10;"47k";;;
11;"R6,R10,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"220";;;
12;"R7,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"470";;;
13;"R8,R11,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"100R";;;
14;"R9,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1k2";;;
15;"R16,R18,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"22k";;;
16;"R17,R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"8k2";;;
17;"R26,R28,R30,R62,R64";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"39k";;;
18;"R31,R33,R35";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"390R";;;
19;"R32,R34";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1k";;;
20;"R36,R38,R40,R83,R88";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"6k8";;;
21;"R37,R39";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4k7";;;
22;"R41,R45,R48";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"5k1";;;
23;"R42,R47,R67,R69";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"390";;;
24;"R43,R46,R50";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"560R";;;
25;"R44,R49";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"180";;;
26;"R52,R54,R87";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"2k2";;;
27;"R66,R68,R70";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"820R";;;
28;"R72";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"82k";;;
29;"R74,R80";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"18k";;;
30;"R75";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"15k";;;
31;"R77";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"27k";;;
32;"R79";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"24k";;;
33;"R81,R86";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"680";;;
34;"R82";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3k9";;;
35;"R84,R89";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1k5";;;
36;"R85";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"270";;;
37;"R90";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k8";;;
