"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
2;"C1,C2";"CP_Radial_D4.0mm_P2.00mm";2;"10u";;;
3;"C3";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"10n";;;
4;"C4,C5,C10,C11";"C_Rect_L7.0mm_W2.5mm_P5.00mm";4;"47p";;;
5;"C6,C7,C8,C9";"C_Rect_L7.0mm_W2.5mm_P5.00mm";4;"100n";;;
6;"D1";"D_T-1_P5.08mm_Horizontal";1;"1N4148";;;
7;"FB1,FB2";"L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC";2;"Ferrite";;;
8;"J1";"SolderWirePad_1x01_Drill1mm";1;"CV_In";;;
9;"J2";"SolderWirePad_1x01_Drill1mm";1;"CLK_IN";;;
10;"J3";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
11;"J4";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
12;"J5";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
13;"J6";"SolderWirePad_1x01_Drill1mm";1;"Out 3";;;
14;"J7";"SolderWirePad_1x01_Drill1mm";1;"Out_2";;;
15;"J8";"SolderWirePad_1x01_Drill1mm";1;"Out_1";;;
16;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"20k";;;
17;"R2,R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"100k";;;
18;"R3,R10,R12,R15,R16,R19,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";7;"22k";;;
19;"R4,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"15k";;;
20;"R8,R9,R11,R14,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"10k";;;
21;"R13,R17,R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"330R";;;
22;"RV1";"Potentiometer_Runtron_RM-065_Vertical";1;"4k7";;;
23;"U1";"DIP-14_W7.62mm_Socket";1;"TL084";;;
24;"U2";"DIP-8_W7.62mm_Socket";1;"TL071";;;
25;"U3,U9";"DIP-16_W7.62mm_Socket";2;"4052";;;
26;"U4";"DIP-14_W7.62mm_Socket";1;"4024";;;
27;"U5,U6,U7,U8";"DIP-8_W7.62mm_Socket";4;"LF356";;;
