Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",20.130000,-57.440000,180.000000,top
"C2","3n3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.740000,-39.640000,0.000000,top
"C3","1n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",29.370000,-23.960000,0.000000,top
"C4","220u","CP_Elec_6.3x5.4",22.330000,-33.260000,180.000000,top
"C5","1n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",40.423785,-72.672360,210.000000,top
"C6","10u","CP_Elec_4x5.4",17.909448,-109.901180,260.000000,top
"C7","220p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",38.727381,-74.714103,120.000000,top
"C8","33u","CP_Elec_5x5.7",27.007509,-100.284950,350.000000,top
"C9","220p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,-106.810000,220.000000,top
"C10","10u","CP_Elec_4x5.4",26.350000,-89.600000,90.000000,top
"C11","10u","CP_Elec_4x5.4",26.250000,-74.340000,90.000000,top
"D1","D_Small","D_SOD-323F",26.900000,-47.520000,270.000000,top
"D2","D_Small","D_SOD-323F",20.984800,-105.244463,260.000000,top
"D3","D_Small","D_SOD-323F",19.015184,-104.897167,80.000000,top
"R1","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",16.760000,-54.350000,180.000000,top
"R2","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",16.760000,-55.880000,180.000000,top
"R3","47k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",16.745000,-57.430000,0.000000,top
"R4","43k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",15.820000,-45.280000,90.000000,top
"R5","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",16.240000,-47.740000,180.000000,top
"R6","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",17.600000,-45.250000,90.000000,top
"R7","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",20.060000,-45.090000,180.000000,top
"R8","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",20.120000,-55.900000,180.000000,top
"R9","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",22.610000,-58.370000,90.000000,top
"R10","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.610000,-53.070000,0.000000,top
"R11","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.590000,-54.600000,0.000000,top
"R12","47k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.570000,-56.130000,180.000000,top
"R13","680","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.750000,-57.780000,270.000000,top
"R14","470k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.740000,-54.410000,90.000000,top
"R15","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",21.650000,-38.740000,90.000000,top
"R16","47","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",20.120000,-38.750000,90.000000,top
"R17","220","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.750000,-41.160000,180.000000,top
"R18","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",25.980000,-23.950000,0.000000,top
"R19","15k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",21.900000,-27.580000,270.000000,top
"R20","220","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",16.630000,-31.940000,90.000000,top
"R21","47","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",25.880000,-21.390000,290.000000,top
"R22","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.770000,-23.970000,180.000000,top
"R23","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.970000,-27.570000,270.000000,top
"R24","470","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",23.430000,-27.580000,270.000000,top
"R25","5k6","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",41.197443,-73.992378,210.000000,top
"R26","820","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",26.490000,-27.560000,270.000000,top
"R27","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",28.670000,-47.470000,270.000000,top
"R28","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",30.200000,-47.470000,270.000000,top
"R29","4k7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",20.080000,-113.970000,350.000000,top
"R30","3k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",30.235760,-63.266182,300.000000,top
"R31","3k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",31.547118,-62.497523,300.000000,top
"R33","270k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",17.190000,-104.530000,80.000000,top
"R34","27k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.402362,-75.479103,300.000000,top
"R35","4k7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.330651,-113.459454,80.000000,top
"R36","33k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.078682,-76.266424,120.000000,top
"R37","82k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.897886,-110.127331,80.000000,top
"R38","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.585043,-82.775262,210.000000,top
"R39","910k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",35.503550,-81.090262,30.000000,top
"R40","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.610663,-102.542220,80.000000,top
"U1","TL074","SOIC-14_3.9x8.7mm_P1.27mm",22.170000,-50.510000,0.000000,top
