Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,20.13,-57.44,180,top
C2,3n3,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.74,-39.64,0,top
C3,1n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,29.37,-23.96,0,top
C4,220u,CP_Elec_6.3x5.4,22.33,-33.26,0,top
C5,1n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,40.423785,-72.67236,210,top
C6,10u,CP_Elec_4x5.4,17.909448,-109.90118,80,top
C7,220p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,38.727381,-74.714103,120,top
C8,33u,CP_Elec_5x5.7,27.007509,-100.28495,170,top
C9,220p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,34.4,-106.81,220,top
C10,10u,CP_Elec_4x5.4,26.35,-89.6,270,top
C11,10u,CP_Elec_4x5.4,26.25,-74.34,270,top
D1,D_Small,D_SOD-323F,26.9,-47.52,270,top
D2,D_Small,D_SOD-323F,20.9848,-105.244463,260,top
D3,D_Small,D_SOD-323F,19.015184,-104.897167,80,top
R1,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,16.76,-54.35,180,top
R2,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,16.76,-55.88,180,top
R3,47k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,16.745,-57.43,0,top
R4,43k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,15.82,-45.28,90,top
R5,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,16.24,-47.74,180,top
R6,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,17.6,-45.25,90,top
R7,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,20.06,-45.09,180,top
R8,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,20.12,-55.9,180,top
R9,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,22.61,-58.37,90,top
R10,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.61,-53.07,0,top
R11,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.59,-54.6,0,top
R12,47k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.57,-56.13,180,top
R13,680,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,34.75,-57.78,270,top
R14,470k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,34.74,-54.41,90,top
R15,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,21.65,-38.74,90,top
R16,47,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,20.12,-38.75,90,top
R17,220,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.75,-41.16,180,top
R18,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,25.98,-23.95,0,top
R19,15k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,21.9,-27.58,270,top
R20,220,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,16.63,-31.94,90,top
R21,47,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,25.88,-21.39,290,top
R22,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.77,-23.97,180,top
R23,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,24.97,-27.57,270,top
R24,470,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,23.43,-27.58,270,top
R25,5k6,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,41.197443,-73.992378,210,top
R26,820,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,26.49,-27.56,270,top
R27,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,28.67,-47.47,270,top
R28,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,30.2,-47.47,270,top
R29,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,20.08,-113.97,350,top
R30,3k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,30.23576,-63.266182,300,top
R31,3k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.547118,-62.497523,300,top
R33,270k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,17.19,-104.53,80,top
R34,27k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,37.402362,-75.479103,300,top
R35,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.330651,-113.459454,80,top
R36,33k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,36.078682,-76.266424,120,top
R37,82k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.897886,-110.127331,80,top
R38,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.585043,-82.775262,210,top
R39,910k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,35.50355,-81.090262,30,top
R40,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.610663,-102.54222,80,top
U1,TL074,SOIC-14_3.9x8.7mm_P1.27mm,22.17,-50.51,270,top
