"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
2;"C5,C6";"CP_Radial_D4.0mm_P2.00mm";2;"1u";;;
3;"C7";"CP_Radial_D4.0mm_P2.00mm";1;"10u";;;
4;"C8";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.001u";;;
5;"C9";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.005u";;;
6;"C10";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.1u";;;
7;"D1,D2,D4";"D_T-1_P5.08mm_Horizontal";3;"1N914";;;
8;"J1";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
9;"J2";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
10;"J3";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
11;"J4";"SolderWirePad_1x01_Drill1mm";1;"IN_A";;;
12;"J5";"SolderWirePad_1x01_Drill1mm";1;"SampRate_1W_A";;;
13;"J6";"SolderWirePad_1x01_Drill1mm";1;"SampRate_3_A";;;
14;"J7";"SolderWirePad_1x01_Drill1mm";1;"LED_A";;;
15;"J8";"SolderWirePad_1x01_Drill1mm";1;"Glide_1W_A";;;
16;"J9";"SolderWirePad_1x01_Drill1mm";1;"Glide_3_A";;;
17;"J10";"SolderWirePad_1x01_Drill1mm";1;"TRIG_A";;;
18;"J11";"SolderWirePad_1x01_Drill1mm";1;"CV_OUT_A";;;
19;"J12";"SolderWirePad_1x01_Drill1mm";1;"GLIDE_OUT_A";;;
20;"Q1";"TO-92L_Inline";1;"Q_NJFET_DSG";;;
21;"R1,R2,R4,R8,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"100k";;;
22;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"560k";;;
23;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"200k";;;
24;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4k7";;;
25;"R7,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"470k";;;
26;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10K";;;
27;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100K";;;
28;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"150k";;;
29;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"220";;;
30;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"75k";;;
31;"R30,R31";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1k";;;
32;"U1";"DIP-14_W7.62mm_Socket";1;"LF444";;;
