"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";;;
2;"U4,U3";"DIP-14_W7.62mm_Socket";2;"TL074";;;
3;"Q4,Q3";"TO-92_Inline_Wide";2;"2N3904";;;
4;"Q2,Q1";"TO-92_Inline_Wide";2;"2N3906";;;
5;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm";4;"MountingHole_3.5mm";;;
6;"C1,C5,C6,C14,C15,C17,C18,C19";"CP_Radial_D5.0mm_P2.50mm";8;"1u";;;
7;"C2,C3";"CP_Radial_D5.0mm_P2.50mm";2;"220u";;;
8;"C4,C7,C11,C12";"C_Rect_L7.0mm_W2.5mm_P5.00mm";4;"100n";;;
9;"C8";"CP_Radial_D5.0mm_P2.50mm";1;"47u";;;
10;"C9,C10";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"560p";;;
11;"C13";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"10n";;;
12;"C16";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"100p";;;
13;"C22";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"22p";;;
14;"C25,C26,C27";"CP_Radial_D5.0mm_P2.50mm";3;"10u";;;
15;"D1,D2";"D_T-1_P5.08mm_Horizontal";2;"1N5231B";;;
16;"D3,D4";"D_T-1_P5.08mm_Horizontal";2;"D_Small";;;
17;"J1";"SolderWirePad_1x01_Drill1mm";1;"+5";;;
18;"J2";"SolderWirePad_1x01_Drill1mm";1;"-5";;;
19;"J3";"SolderWirePad_1x01_Drill1mm";1;"Fdbk_CV";;;
20;"J4";"SolderWirePad_1x01_Drill1mm";1;"Fdbk";;;
21;"J5";"SolderWirePad_1x01_Drill1mm";1;"In";;;
22;"J6";"SolderWirePad_1x01_Drill1mm";1;"Wet_CV";;;
23;"J7";"SolderWirePad_1x01_Drill1mm";1;"Wet";;;
24;"J8";"SolderWirePad_1x01_Drill1mm";1;"Del_Time_CV";;;
25;"J9";"SolderWirePad_1x01_Drill1mm";1;"Del_Time_Adj";;;
26;"J10";"IDC-Header_2x05_P2.54mm_Vertical";1;"Conn_01x10_Female";;;
27;"J11";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12v";;;
28;"J12";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND";;;
29;"J13";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12v";;;
30;"J14";"SolderWirePad_1x01_Drill1mm";1;"Out";;;
31;"J15";"SolderWirePad_1x01_Drill1mm";1;"Dry1";;;
32;"J16";"SolderWirePad_1x01_Drill1mm";1;"Dry2";;;
33;"R1,R2,R9,R22,R28,R33";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1k";;;
34;"R3,R4,R17,R18,R24,R25,R37,R39";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";8;"100k";;;
35;"R5,R10,R11,R12,R15,R36";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"20k";;;
36;"R6,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"43k";;;
37;"R7,R23";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"15k";;;
38;"R8,R21,R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"200k";;;
39;"R13,R29";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"47k";;;
40;"R14,R19,R32";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"4k7";;;
41;"R16,R30,R40";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"470k";;;
42;"R27";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1M";;;
43;"R31";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3k";;;
44;"R34";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"680k";;;
45;"R35";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"270k";;;
46;"R38";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"18k";;;
47;"U1";"TO-220-3_Vertical";1;"L7805";;;
48;"U2";"DIP-16_W7.62mm_Socket";1;"PT2399";;;
49;"U5";"DIP-16_W7.62mm_Socket";1;"LM13700";;;
