"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R16,R14,R1,R8,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"15k";;;
2;"J31";"SolderWirePad_1x01_Drill1mm";1;"Man_Loop";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm";4;"MountingHole_3.5mm";;;
4;"J28";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12v_Conn";;;
5;"Q1";"TO-92_Inline_Wide";1;"BC557";;;
6;"R20,R21,R4,R5,R7,R9,R11,R13,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";9;"100k";;;
7;"R22,R6,R10,R18,R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"10k";;;
8;"J30";"SolderWirePad_1x01_Drill1mm";1;"Sens_Pot";;;
9;"J29";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
10;"J27";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12v_Conn";;;
11;"D2,D1";"D_T-1_P5.08mm_Horizontal";2;"D";;;
12;"C4,C3";"CP_Radial_D5.0mm_P2.0mm_Bigger_Holes";2;"CP1";;;
13;"C2,C1";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"1n";;;
14;"Q10,Q9,Q8,Q7,Q6,Q5,Q4,Q3,Q2";"TO-92_Inline_Wide";9;"BC547";;;
15;"J1";"SolderWirePad_1x01_Drill1mm";1;"Loop_In";;;
16;"J2";"SolderWirePad_1x01_Drill1mm";1;"H";;;
17;"J3";"SolderWirePad_1x01_Drill1mm";1;"L";;;
18;"J4";"SolderWirePad_1x01_Drill1mm";1;"Input";;;
19;"J5";"SolderWirePad_1x01_Drill1mm";1;"CV";;;
20;"J6";"SolderWirePad_1x01_Drill1mm";1;"CK_In";;;
21;"J7";"SolderWirePad_1x01_Drill1mm";1;"Mel_Out_Inv";;;
22;"J8";"SolderWirePad_1x01_Drill1mm";1;"Mel_Out";;;
23;"J9";"SolderWirePad_1x01_Drill1mm";1;"LC";;;
24;"J10";"SolderWirePad_1x01_Drill1mm";1;"L3";;;
25;"J11";"SolderWirePad_1x01_Drill1mm";1;"L6";;;
26;"J12";"SolderWirePad_1x01_Drill1mm";1;"OC";;;
27;"J13";"SolderWirePad_1x01_Drill1mm";1;"O3";;;
28;"J14";"SolderWirePad_1x01_Drill1mm";1;"O6";;;
29;"J15";"SolderWirePad_1x01_Drill1mm";1;"L1";;;
30;"J16";"SolderWirePad_1x01_Drill1mm";1;"L4";;;
31;"J17";"SolderWirePad_1x01_Drill1mm";1;"L7";;;
32;"J18";"SolderWirePad_1x01_Drill1mm";1;"O1";;;
33;"J19";"SolderWirePad_1x01_Drill1mm";1;"O4";;;
34;"J20";"SolderWirePad_1x01_Drill1mm";1;"O7";;;
35;"J21";"SolderWirePad_1x01_Drill1mm";1;"L2";;;
36;"J22";"SolderWirePad_1x01_Drill1mm";1;"L5";;;
37;"J23";"SolderWirePad_1x01_Drill1mm";1;"L8";;;
38;"J24";"SolderWirePad_1x01_Drill1mm";1;"O2";;;
39;"J25";"SolderWirePad_1x01_Drill1mm";1;"O5";;;
40;"J26";"SolderWirePad_1x01_Drill1mm";1;"O8";;;
41;"R2,R23,R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"47k";;;
42;"R3,R33,R34,R46,R48,R50,R52,R54,R56,R58,R60,R62";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";12;"1k";;;
43;"R25,R26,R27,R28,R29,R30,R31,R32,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";18;"200k";;;
44;"R45,R47,R49,R51,R53,R55,R57,R59,R61";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";9;"1k5";;;
45;"U1";"DIP-8_W7.62mm_Socket";1;"LM393";;;
46;"U2,U3";"DIP-8_W7.62mm_Socket";2;"TL072";;;
47;"U4";"DIP-16_W7.62mm_Socket";1;"4015";;;
