"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"h4,h3,h2,h1";"MountingHole_4.3mm_M4_DIN965_Pad";4;"MountingHole_4.3mm_M4_DIN965_Pad";;;
2;"U8";"DIP-8_W7.62mm_Socket_LongPads";1;"LM386";;;
3;"U7,U5";"PerkinElmer_VTL5C";2;"VTL5C";;;
4;"U6";"DIP-14_W7.62mm_Socket_LongPads";1;"74HC14";;;
5;"U4";"DIP-16_W7.62mm_Socket_LongPads";1;"4046";;;
6;"U3";"DIP-16_W7.62mm_Socket_LongPads";1;"4021";;;
7;"U2";"DIP-8_W7.62mm_Socket_LongPads";1;"LM358";;;
8;"U1";"DIP-14_W7.62mm_Socket_LongPads";1;"LM324";;;
9;"SW2,SW1";"SolderWirePad_1x03_P5.715mm_Drill2mm";2;"SW_SPDT";;;
10;"RV13,RV12,RV11,RV1";"SolderWirePad_1x03_P5.715mm_Drill2mm";4;"10k";;;
11;"RV10,RV9,RV8,RV7,RV6,RV5";"SolderWirePad_1x03_P5.715mm_Drill2mm";6;"50k";;;
12;"RV4,RV3,RV2";"SolderWirePad_1x03_P5.715mm_Drill2mm";3;"R_POT_US";;;
13;"R27";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"1.2k";;;
14;"R26";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"10M";;;
15;"R25";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"10";;;
16;"R24,R14,R7";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";3;"10k";;;
17;"R23,R22,R21,R20,R19,R18,R17,R16";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";8;"1K";;;
18;"R15,R2";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";2;"100k";;;
19;"R13,R12,R11,R6";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";4;"15k";;;
20;"R10,R9,R8,R4,R3";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";5;"30k";;;
21;"R5,R1";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";2;"62k";;;
22;"Q1";"TO-92_Inline";1;"BC547";;;
23;"LS1";"PinHeader_1x02_P2.54mm_Vertical";1;"Speaker";;;
24;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
25;"CP4,CP2";"CP_Radial_D10.0mm_P5.00mm";2;"C";;;
26;"CP3,CP1,C6,C2";"CP_Radial_D10.0mm_P5.00mm";4;"1uf";;;
27;"C11";"CP_Radial_D10.0mm_P5.00mm";1;"10nf";;;
28;"C9,C7";"CP_Radial_D10.0mm_P5.00mm";2;".1uF";;;
29;"C8";"CP_Radial_D10.0mm_P5.00mm";1;"10uf";;;
30;"C3";"CP_Radial_D14.0mm_P7.50mm";1;"250uf";;;
31;"C1";"CP_Radial_D14.0mm_P7.50mm";1;"10uF";;;
