"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_2.5mm_Pad";4;"MountingHole_2.5mm_Pad";;;
2;"C1";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.02uF";;;
3;"C2";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"100pF";;;
4;"C3,C4";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"10pF";;;
5;"C11,C12";"CP_Radial_D4.0mm_P2.00mm";2;"10uF";;;
6;"D1,D2";"D_T-1_P5.08mm_Horizontal";2;"D";;;
7;"J1";"SolderWirePad_1x01_Drill1mm";1;"CFV";;;
8;"J2";"SolderWirePad_1x01_Drill1mm";1;"CV1";;;
9;"J3";"SolderWirePad_1x01_Drill1mm";1;"CV2";;;
10;"J4";"SolderWirePad_1x01_Drill1mm";1;"CV3";;;
11;"J5";"SolderWirePad_1x01_Drill1mm";1;"CFL";;;
12;"J6";"SolderWirePad_1x01_Drill1mm";1;"FFV";;;
13;"J7";"SolderWirePad_1x01_Drill1mm";1;"TRI";;;
14;"J8";"SolderWirePad_1x01_Drill1mm";1;"RMP";;;
15;"J9";"SolderWirePad_1x01_Drill1mm";1;"SAW";;;
16;"J10";"SolderWirePad_1x01_Drill1mm";1;"PWXY";;;
17;"J11";"SolderWirePad_1x01_Drill1mm";1;"PWC";;;
18;"J12";"SolderWirePad_1x01_Drill1mm";1;"SIN";;;
19;"J13";"SolderWirePad_1x01_Drill1mm";1;"PW10";;;
20;"J14";"SolderWirePad_1x01_Drill1mm";1;"PW90";;;
21;"J15";"SolderWirePad_1x01_Drill1mm";1;"SQR";;;
22;"J16";"SolderWirePad_1x01_Drill1mm";1;"LEDA";;;
23;"Q1,Q2";"TO-92_Inline_Wide";2;"Q_NJFET_DSG";;;
24;"Q3,Q4,Q6";"TO-92_Inline_Wide";3;"2N3904";;;
25;"Q5";"TO-92_Inline_Wide";1;"2N3906";;;
26;"R1,R23,R38,R46,R51,R52";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1K";;;
27;"R2,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"20K";;;
28;"R3,R12,R30";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"47K";;;
29;"R4,R5,R6,R9,R10,R13,R33,R34,R53,R54,R55";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";11;"100K";;;
30;"R8,R50,R56";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"4.7K";;;
31;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3M";;;
32;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"39K";;;
33;"R16,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"30K";;;
34;"R18,R35";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"2K";;;
35;"R19,R20,R24,R28,R31,R36,R39,R40,R47,R48,R49";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";11;"10K";;;
36;"R21,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"15K";;;
37;"R25";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"9.1K";;;
38;"R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"120K";;;
39;"R27";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"110K";;;
40;"R29";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"270K";;;
41;"R32,R37";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4.7M";;;
42;"R41";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"180K";;;
43;"R42";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1M";;;
44;"R43";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"680K";;;
45;"R44";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"27K";;;
46;"R45";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2M";;;
47;"RV3";"Potentiometer_Runtron_RM-065_Vertical";1;"100K";;;
48;"RV4";"Potentiometer_Runtron_RM-065_Vertical";1;"2K";;;
49;"U1";"DIP-16_W7.62mm_Socket";1;"LM13700";;;
50;"U2,U3,U5,U6";"DIP-8_W7.62mm_Socket";4;"TL082";;;
51;"U4";"DIP-8_W7.62mm_Socket";1;"TL072";;;
52;"J17";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
53;"J18";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
54;"J19";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
55;"C5,C6,C7,C8,C9,C10";"C_Rect_L7.0mm_W2.5mm_P5.00mm";6;"0.1uF";;;
