"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**";"MountingHole_3.5mm_Pad";2;"MountingHole_3.5mm_Pad";;;
2;"C26,C9,C8";"CP_Radial_D6.3mm_P2.50mm";3;"10uF";;;
3;"C7,C6,C3";"CP_Radial_D6.3mm_P2.50mm";3;"220uF";;;
4;"C13,C12,C11,C10,C1";"CP_Radial_D5.0mm_P2.50mm";5;"1uF";;;
5;"Q2,Q1";"TO-92_Inline_Wide";2;"2N3906";;;
6;"C2";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"100pF";;;
7;"C4";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.047uF";;;
8;"C5,C15,C16,C17,C18,C19,C21,C22,C23,C24,C25";"C_Rect_L7.0mm_W2.5mm_P5.00mm";11;"0.1uF";;;
9;"C14";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.01uF";;;
10;"C20";"CP_Radial_D8.0mm_P3.50mm";1;"10uF";;;
11;"C27";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.022uF";;;
12;"D1,D2,D3,D4";"D_T-1_P5.08mm_Horizontal";4;"1N914";;;
13;"J1";"SolderWirePad_1x01_Drill1mm";1;"X6";;;
14;"J2";"SolderWirePad_1x01_Drill1mm";1;"X9";;;
15;"J3";"SolderWirePad_1x01_Drill1mm";1;"X10";;;
16;"J4";"SolderWirePad_1x01_Drill1mm";1;"X7";;;
17;"J5";"SolderWirePad_1x01_Drill1mm";1;"X8";;;
18;"J6";"SolderWirePad_1x01_Drill1mm";1;"X11";;;
19;"J7";"SolderWirePad_1x01_Drill1mm";1;"X1";;;
20;"J8";"SolderWirePad_1x01_Drill1mm";1;"X2";;;
21;"J9";"SolderWirePad_1x01_Drill1mm";1;"X3";;;
22;"J10";"SolderWirePad_1x01_Drill1mm";1;"X5";;;
23;"J11";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
24;"J12";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
25;"J13";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
26;"J14";"SolderWirePad_1x01_Drill1mm";1;"X4";;;
27;"R1,R3,R34,R35";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1M";;;
28;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"6.2K";;;
29;"R4,R5,R12,R26,R39,R40";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1K";;;
30;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10";;;
31;"R7,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"15K";;;
32;"R8,R19,R37";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"200K";;;
33;"R9,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10K";;;
34;"R10,R27";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4.7K";;;
35;"R11,R25";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"43K";;;
36;"R13,R14,R18,R23,R24,R29,R30";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";7;"100K";;;
37;"R16,R32";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"47K";;;
38;"R17,R33";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"470K";;;
39;"R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"270K";;;
40;"R36";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2K";;;
41;"R38";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3.3K";;;
42;"U1";"DIP-8_W7.62mm_Socket";1;"LM386";;;
43;"U2";"DIP-8_W7.62mm_Socket";1;"LF411";;;
44;"U3";"DIP-14_W7.62mm_Socket";1;"TL074";;;
45;"U4";"DIP-16_W7.62mm_Socket";1;"LM13700";;;
46;"U5,U6";"DIP-8_W7.62mm_Socket";2;"TL072";;;
47;"Z1";"D_T-1_P5.08mm_Horizontal";1;"1N5231B";;;
