"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm";4;"MountingHole_3.5mm";;;
2;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"SolderWirePad_1x01_Drill0.8mm";16;"SolderWirePad_1x01_Drill0.8mm";;;
3;"J15";"SolderWirePad_1x01_Drill1mm";1;"Res3";;;
4;"J14";"SolderWirePad_1x01_Drill1mm";1;"Res2";;;
5;"J13";"SolderWirePad_1x01_Drill1mm";1;"Res1";;;
6;"Q2,Q1";"TO-92_Inline_Wide";2;"BC557";;;
7;"C1";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"4n7";;;
8;"C2";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"470n";;;
9;"C3,C4";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"1n";;;
10;"C5,C6,C7,C8,C10,C11,C12,C13";"C_Rect_L7.0mm_W2.5mm_P5.00mm";8;"100n";;;
11;"C9,C14";"CP_Radial_D5.0mm_P2.0mm_Bigger_Holes";2;"10u";;;
12;"D1,D2";"LED_D3.0mm";2;"LED";;;
13;"J1";"SolderWirePad_1x01_Drill1mm";1;"CV1";;;
14;"J2";"SolderWirePad_1x01_Drill1mm";1;"CV2";;;
15;"J3";"SolderWirePad_1x01_Drill1mm";1;"LP_IN";;;
16;"J4";"SolderWirePad_1x01_Drill1mm";1;"Out";;;
17;"J5";"SolderWirePad_1x01_Drill1mm";1;"Cutoff";;;
18;"J6";"SolderWirePad_1x01_Drill1mm";1;"HP_IN";;;
19;"J7";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V";;;
20;"J8";"SolderWirePad_1x01_Drill1mm";1;"Res_CV";;;
21;"J9";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND";;;
22;"J10";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V";;;
23;"J11";"SolderWirePad_1x01_Drill1mm";1;"Res_Out";;;
24;"J12";"SolderWirePad_1x01_Drill1mm";1;"Res_In";;;
25;"R1,R5,R20,R29";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"4k7";;;
26;"R2,R4,R6,R11,R15,R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"10k";;;
27;"R3,R7,R22,R23,R24,R27,R33";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";7;"100k";;;
28;"R8,R32";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1k";;;
29;"R9,R10,R13,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"220";;;
30;"R12,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"220k";;;
31;"R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"470k";;;
32;"R18,R30,R36";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"47k";;;
33;"R21,R35";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"120k";;;
34;"R25,R28,R34,R37";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"30k";;;
35;"R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"150k";;;
36;"R31";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"200k";;;
37;"RV3";"Potentiometer_Runtron_RM-065_Vertical";1;"1k";;;
38;"RV5";"Potentiometer_Runtron_RM-065_Vertical";1;"100k";;;
39;"U1";"DIP-8_W7.62mm_Socket";1;"TL072";;;
40;"U2,U6";"DIP-16_W7.62mm_Socket";2;"LM13700";;;
41;"U3";"DIP-8_W7.62mm_Socket";1;"NE5532";;;
42;"U5";"DIP-14_W7.62mm_Socket";1;"TL074";;;
