"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**";"MountingHole_3.5mm";3;"MountingHole_3.5mm";;;
2;"J7";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
3;"Q3,Q2,Q1";"TO-92_Inline_Wide";3;"2N3904";;;
4;"J8";"SolderWirePad_1x01_Drill1mm";1;"Init_LVL";;;
5;"J6";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
6;"J5";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
7;"C1,C4,C5";"CP_Radial_D5.0mm_P2.0mm_Bigger_Holes";3;"10u";;;
8;"J1";"SolderWirePad_1x01_Drill1mm";1;"CV1";;;
9;"J2";"SolderWirePad_1x01_Drill1mm";1;"CV2";;;
10;"J3";"SolderWirePad_1x01_Drill1mm";1;"In";;;
11;"J4";"SolderWirePad_1x01_Drill1mm";1;"Out";;;
12;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"33k";;;
13;"R3,R4,R13,R14,R15,R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"10k";;;
14;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"5k6";;;
15;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
16;"R7,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"22k";;;
17;"R8,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"15k";;;
18;"R10,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"30k";;;
19;"RV1";"Potentiometer_Runtron_RM-065_Vertical";1;"10k";;;
20;"U1";"DIP-8_W7.62mm_Socket";1;"TL072";;;
