"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"DIP-14_W7.62mm_Socket";1;"TL074";;;
2;"R11,R12,R13,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"30k";;;
3;"U2";"DIP-16_W7.62mm_Socket";1;"4017";;;
4;"J13";"SolderWirePad_1x01_Drill1mm";1;"4w";;;
5;"J12";"SolderWirePad_1x01_Drill1mm";1;"3w";;;
6;"J11";"SolderWirePad_1x01_Drill1mm";1;"2w";;;
7;"J10";"SolderWirePad_1x01_Drill1mm";1;"1w";;;
8;"J9";"SolderWirePad_1x01_Drill1mm";1;"4a";;;
9;"J8";"SolderWirePad_1x01_Drill1mm";1;"3a";;;
10;"J7";"SolderWirePad_1x01_Drill1mm";1;"2a";;;
11;"J6";"SolderWirePad_1x01_Drill1mm";1;"1a";;;
12;"REF**,REF**";"MountingHole_3.5mm";2;"MountingHole_3.5mm";;;
13;"C1";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"47p";;;
14;"C2,C3";"CP_Radial_D6.3mm_P2.50mm";2;"10u";;;
15;"C4,C5,C6";"C_Rect_L7.0mm_W2.5mm_P5.00mm";3;"0.01u";;;
16;"D1,D2,D3,D4,D5,D6";"D_T-1_P5.08mm_Horizontal";6;"1N4148";;;
17;"J1";"SolderWirePad_1x01_Drill1mm";1;"CK_In";;;
18;"J2";"SolderWirePad_1x01_Drill1mm";1;"CV_Out";;;
19;"J3";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
20;"J4";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
21;"J5";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
22;"R1,R3,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"100k";;;
23;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47k";;;
24;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"15k";;;
25;"R6,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1k";;;
26;"R7,R8,R9,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"10k";;;
