"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
2;"C1";"CP_Radial_D4.0mm_P2.00mm";1;"1u";;;
3;"C2";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.0047u";;;
4;"C3,C6";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"0.1u";;;
5;"C4,C5";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"10p";;;
6;"C7,C8";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"0.001u";;;
7;"C9";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"100p";;;
8;"C10";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.01u";;;
9;"C17,C18";"CP_Radial_D4.0mm_P1.50mm";2;"10u";;;
10;"D1,D2,D3";"D_T-1_P5.08mm_Horizontal";3;"D";;;
11;"J1";"SolderWirePad_1x01_Drill1mm";1;"GRNS_3";;;
12;"J2";"SolderWirePad_1x01_Drill1mm";1;"GRNS_W1";;;
13;"J3";"SolderWirePad_1x01_Drill1mm";1;"Gate_F_W1";;;
14;"J4";"SolderWirePad_1x01_Drill1mm";1;"Gate_F_3";;;
15;"J5";"SolderWirePad_1x01_Drill1mm";1;"Grain";;;
16;"J6";"SolderWirePad_1x01_Drill1mm";1;"Grain_HP";;;
17;"J7";"SolderWirePad_1x01_Drill1mm";1;"Q0";;;
18;"J8";"SolderWirePad_1x01_Drill1mm";1;"Q1";;;
19;"J9";"SolderWirePad_1x01_Drill1mm";1;"Q2";;;
20;"J10";"SolderWirePad_1x01_Drill1mm";1;"Q3";;;
21;"J11";"SolderWirePad_1x01_Drill1mm";1;"Q4";;;
22;"J12";"SolderWirePad_1x01_Drill1mm";1;"Q5";;;
23;"J13";"SolderWirePad_1x01_Drill1mm";1;"Q6";;;
24;"J14";"SolderWirePad_1x01_Drill1mm";1;"GATE_JMP";;;
25;"J15";"SolderWirePad_1x01_Drill1mm";1;"White";;;
26;"J16";"SolderWirePad_1x01_Drill1mm";1;"LP_White";;;
27;"J17";"SolderWirePad_1x01_Drill1mm";1;"GATE_OUT";;;
28;"J18";"SolderWirePad_1x01_Drill1mm";1;"HP_White";;;
29;"J19";"SolderWirePad_1x01_Drill1mm";1;"LED";;;
30;"J20";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
31;"J21";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn?";;;
32;"J22";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
33;"Q1,Q2";"TO-92_Inline";2;"2N3904";;;
34;"R1,R2,R15,R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"470k";;;
35;"R3,R5,R6,R28";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"47k";;;
36;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"200k";;;
37;"R7,R9,R13,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"20k";;;
38;"R8,R10,R11,R14,R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"10k";;;
39;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2M";;;
40;"R16,R17,R20,R31";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"4k7";;;
41;"R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100k";;;
42;"R23,R25";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"43k";;;
43;"R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1M";;;
44;"R26,R27,R29,R30";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1k";;;
45;"RV3";"Potentiometer_Runtron_RM-065_Vertical";1;"500k";;;
46;"U1,U2,U3,U5";"DIP-8_W7.62mm_Socket";4;"TL072";;;
47;"U4";"DIP-14_W7.62mm_Socket";1;"4024";;;
