"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
2;"RV2,RV1";"Potentiometer_Runtron_RM-065_Vertical";2;"2k";;;
3;"REF**,REF**";"TO-220_WIDE_FOR_PCB_MILL";2;"TO-220_WIDE_FOR_PCB_MILL";;;
4;"C8,C7";"CP_Radial_D5.0mm_P2.50mm";2;"10uF";;;
5;"D3,D2,D4,D5";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N4002";;;
6;"C1,C2,C3,C4";"CP_Radial_D30.0mm_P10.00mm_SnapIn";4;"10000uF";;;
7;"C5,C6";"CP_Radial_D5.0mm_P2.50mm";2;"0.1uF";;;
8;"J1,J2,J3";"Pin_D1.1mm_L10.2mm_W3.5mm_Flat";3;"Conn_01x01_Female";;;
9;"J4";"Pin_D1.1mm_L10.2mm_W3.5mm_Flat";1;"-V_Conn";;;
10;"J5";"Pin_D1.1mm_L10.2mm_W3.5mm_Flat";1;"+V_Conn";;;
11;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1k";;;
12;"R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"240";;;
13;"R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4.7k";;;
14;"C9,C10";"CP_Radial_D5.0mm_P2.50mm";2;"1uF";;;
15;"U1";"TO-220-3_Horizontal_TabUp_WIDE";1;"LM337_TO220";;;
16;"U2";"TO-220-3_Horizontal_TabDown_WIDE";1;"LM317_3PinPackage";;;
17;"D1";"Diode_Bridge_Vishay_KBU";1;"KBU401";;;
18;"J6";"Pin_D1.1mm_L10.2mm_W3.5mm_Flat";1;"GND_Conn";;;
