Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,1u,C_0603_1608Metric,19.812,-35.306,250,top
C4,1u,C_0603_1608Metric,19.558,-27.686,260,top
C8,1u,C_0603_1608Metric,53.3146,-31.0896,140,top
C9,10n,C_0603_1608Metric,51.5112,-26.797,0,top
C10,10n,C_0603_1608Metric,41.3512,-24.384,300,top
C11,10n,C_0603_1608Metric,70.0532,-34.8996,260,top
C12,10n,C_0603_1608Metric,55.4736,-41.0972,270,top
R4,180k,R_0603_1608Metric,20.574,-25.4,150,top
R5,180k,R_0603_1608Metric,20.066,-32.766,180,top
R7,1k5,R_0603_1608Metric,30.734,-25.4,40,top
R8,2k7,R_0603_1608Metric,20.828,-30.226,240,top
R13,1k5,R_0603_1608Metric,28.448,-24.13,10,top
R14,6k8,R_0603_1608Metric,22.86,-37.338,0,top
R15,2k7,R_0603_1608Metric,24.892,-24.892,240,top
R16,2k7,R_0603_1608Metric,24.638,-27.94,220,top
R19,12k,R_0603_1608Metric,22.606,-27.178,50,top
R20,6k8,R_0603_1608Metric,30.48,-29.972,300,top
R23,12k,R_0603_1608Metric,27.432,-22.606,10,top
R24,2k7,R_0603_1608Metric,28.956,-27.178,300,top
R27,1k2,R_0603_1608Metric,36.4999,-30.9626,0,top
R28,6k8,R_0603_1608Metric,41.7576,-29.3369,90,top
R30,1k2,R_0603_1608Metric,33.4772,-33.528,270,top
R33,15k,R_0603_1608Metric,39.5224,-30.0228,240,top
R34,15k,R_0603_1608Metric,47.3456,-43.5102,180,top
R36,15k,R_0603_1608Metric,44.2976,-30.2006,280,top
R38,15k,R_0603_1608Metric,45.4406,-19.2532,200,top
R40,10k,R_0603_1608Metric,48.895,-22.5044,120,top
R42,68k,R_0603_1608Metric,48.1076,-28.8544,210,top
R44,470,R_0603_1608Metric,50.419,-29.972,210,top
U4,TL072,SOIC-8_3.9x4.9mm_P1.27mm,45.72,-24.6634,210,top
