"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,e,REF**";"MountingHole_3.5mm_Pad";3;"MountingHole_3.5mm_Pad";;;
2;"REF**";"MountingHole_3.5mm_Pad";1;"e";;;
3;"R28,R32,R35";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"4k7";;;
4;"D31,D1,D2,D3,D4,D5,D6,D7,D8,D9,D11,D13,D14,D48";"D_T-1_P5.08mm_Horizontal";14;"D";;;
5;"J72";"SolderWirePad_1x01_Drill1mm";1;"VSRC";;;
6;"D49";"D_T-1_P5.08mm_Horizontal";1;"D_Zener";;;
7;"U7";"SOIC-24W_7.5x15.4mm_P1.27mm";1;"4514";;;
8;"U11";"DIP-24_W15.24mm_Socket";1;"CD74HC4067M";;;
9;"C1,C3,C7,C8,C22,C23";"C_Rect_L7.0mm_W2.5mm_P5.00mm";6;"0.01uF";;;
10;"C2,C4,C5,C6,C9";"C_Rect_L7.0mm_W2.5mm_P5.00mm";5;"0.02uF";;;
11;"C10";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"1uF";;;
12;"C12,C13,C14,C21";"C_Rect_L7.0mm_W2.5mm_P5.00mm";4;"0.001u";;;
13;"C15,C20";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"0.01u";;;
14;"C24";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"100p";;;
15;"C25,C26";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"0.1u";;;
16;"C27,C30";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"470p";;;
17;"C28,C29";"CP_Radial_D4.0mm_P2.00mm";2;"100u";;;
18;"J1";"SolderWirePad_1x01_Drill1mm";1;"STUP";;;
19;"J2";"SolderWirePad_1x01_Drill1mm";1;"STDN";;;
20;"J3";"SolderWirePad_1x01_Drill1mm";1;"XSTP";;;
21;"J4";"SolderWirePad_1x01_Drill1mm";1;"XCLK";;;
22;"J5";"SolderWirePad_1x01_Drill1mm";1;"CKOUT";;;
23;"J6";"SolderWirePad_1x01_Drill1mm";1;"GATE";;;
24;"J7";"SolderWirePad_1x01_Drill1mm";1;"TRIG";;;
25;"J8";"SolderWirePad_1x01_Drill1mm";1;"GB";;;
26;"J9";"SolderWirePad_1x01_Drill1mm";1;"CBUS";;;
27;"J10";"SolderWirePad_1x01_Drill1mm";1;"S7";;;
28;"J11";"SolderWirePad_1x01_Drill1mm";1;"S6";;;
29;"J12";"SolderWirePad_1x01_Drill1mm";1;"S5";;;
30;"J13";"SolderWirePad_1x01_Drill1mm";1;"S4";;;
31;"J14";"SolderWirePad_1x01_Drill1mm";1;"S3";;;
32;"J15";"SolderWirePad_1x01_Drill1mm";1;"S2";;;
33;"J16";"SolderWirePad_1x01_Drill1mm";1;"S1";;;
34;"J17";"SolderWirePad_1x01_Drill1mm";1;"S0";;;
35;"J18";"SolderWirePad_1x01_Drill1mm";1;"S8";;;
36;"J19";"SolderWirePad_1x01_Drill1mm";1;"S9";;;
37;"J20";"SolderWirePad_1x01_Drill1mm";1;"S10";;;
38;"J21";"SolderWirePad_1x01_Drill1mm";1;"S11";;;
39;"J22";"SolderWirePad_1x01_Drill1mm";1;"RIN";;;
40;"J23";"SolderWirePad_1x01_Drill1mm";1;"S12";;;
41;"J24";"SolderWirePad_1x01_Drill1mm";1;"S13";;;
42;"J25";"SolderWirePad_1x01_Drill1mm";1;"S14";;;
43;"J26";"SolderWirePad_1x01_Drill1mm";1;"S15";;;
44;"J27";"SolderWirePad_1x01_Drill1mm";1;"CV1_GL";;;
45;"J28";"SolderWirePad_1x01_Drill1mm";1;"CV2_GL";;;
46;"J29";"SolderWirePad_1x01_Drill1mm";1;"CV3";;;
47;"J30";"SolderWirePad_1x01_Drill1mm";1;"CV4";;;
48;"J31";"SolderWirePad_1x01_Drill1mm";1;"7C";;;
49;"J32";"SolderWirePad_1x01_Drill1mm";1;"7F";;;
50;"J33";"SolderWirePad_1x01_Drill1mm";1;"6C";;;
51;"J34";"SolderWirePad_1x01_Drill1mm";1;"6F";;;
52;"J35";"SolderWirePad_1x01_Drill1mm";1;"5C";;;
53;"J36";"SolderWirePad_1x01_Drill1mm";1;"5F";;;
54;"J37";"SolderWirePad_1x01_Drill1mm";1;"4C";;;
55;"J38";"SolderWirePad_1x01_Drill1mm";1;"4F";;;
56;"J39";"SolderWirePad_1x01_Drill1mm";1;"3C";;;
57;"J40";"SolderWirePad_1x01_Drill1mm";1;"3F";;;
58;"J41";"SolderWirePad_1x01_Drill1mm";1;"2C";;;
59;"J42";"SolderWirePad_1x01_Drill1mm";1;"2F";;;
60;"J43";"SolderWirePad_1x01_Drill1mm";1;"1C";;;
61;"J44";"SolderWirePad_1x01_Drill1mm";1;"1F";;;
62;"J45";"SolderWirePad_1x01_Drill1mm";1;"0C";;;
63;"J46";"SolderWirePad_1x01_Drill1mm";1;"0F";;;
64;"J47";"SolderWirePad_1x01_Drill1mm";1;"12C";;;
65;"J48";"SolderWirePad_1x01_Drill1mm";1;"12F";;;
66;"J49";"SolderWirePad_1x01_Drill1mm";1;"13C";;;
67;"J50";"SolderWirePad_1x01_Drill1mm";1;"13F";;;
68;"J51";"SolderWirePad_1x01_Drill1mm";1;"14C";;;
69;"J52";"SolderWirePad_1x01_Drill1mm";1;"14F";;;
70;"J53";"SolderWirePad_1x01_Drill1mm";1;"15C";;;
71;"J54";"SolderWirePad_1x01_Drill1mm";1;"15F";;;
72;"J55";"SolderWirePad_1x01_Drill1mm";1;"8C";;;
73;"J56";"SolderWirePad_1x01_Drill1mm";1;"8F";;;
74;"J57";"SolderWirePad_1x01_Drill1mm";1;"9C";;;
75;"J58";"SolderWirePad_1x01_Drill1mm";1;"9F";;;
76;"J59";"SolderWirePad_1x01_Drill1mm";1;"10C";;;
77;"J60";"SolderWirePad_1x01_Drill1mm";1;"10F";;;
