"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J18";"SolderWirePad_1x01_Drill1mm";1;"RD_OUT";;;
2;"D8,D1,D2,D3,D4,D5,D6,D7";"D_T-1_P5.08mm_Horizontal";8;"D";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
4;"J23";"SolderWirePad_1x01_Drill1mm";1;"RATE_B";;;
5;"J22";"SolderWirePad_1x01_Drill1mm";1;"RATE_A";;;
6;"C1";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"100n";;;
7;"C2";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"220n";;;
8;"C3,C4";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"1n";;;
9;"C5,C6";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"47p";;;
10;"C7";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"100p";;;
11;"C8,C9";"CP_Radial_D4.0mm_P2.00mm";2;"10u";;;
12;"J1";"SolderWirePad_1x01_Drill1mm";1;"IN_A";;;
13;"J2";"SolderWirePad_1x01_Drill1mm";1;"IN_B";;;
14;"J3";"SolderWirePad_1x01_Drill1mm";1;"VC_A";;;
15;"J4";"SolderWirePad_1x01_Drill1mm";1;"VC_B";;;
16;"J5";"SolderWirePad_1x01_Drill1mm";1;"HOLD_A";;;
17;"J6";"SolderWirePad_1x01_Drill1mm";1;"SAMPLE";;;
18;"J7";"SolderWirePad_1x01_Drill1mm";1;"LA_B";;;
19;"J8";"SolderWirePad_1x01_Drill1mm";1;"LK_B";;;
20;"J9";"SolderWirePad_1x01_Drill1mm";1;"OUT_A";;;
21;"J10";"SolderWirePad_1x01_Drill1mm";1;"LA_A";;;
22;"J11";"SolderWirePad_1x01_Drill1mm";1;"LK_A";;;
23;"J12";"SolderWirePad_1x01_Drill1mm";1;"OUT_B";;;
24;"J13";"SolderWirePad_1x01_Drill1mm";1;"CYCLE_B";;;
25;"J14";"SolderWirePad_1x01_Drill1mm";1;"CYCLE_A";;;
26;"J15";"SolderWirePad_1x01_Drill1mm";1;"COUPLER";;;
27;"J16";"SolderWirePad_1x01_Drill1mm";1;"CA";;;
28;"J17";"SolderWirePad_1x01_Drill1mm";1;"CK";;;
29;"J19";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
30;"J20";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
31;"J21";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
32;"Q1,Q2";"TO-92_Inline";2;"2N3906";;;
33;"Q3,Q4";"TO-92_Inline_Wide";2;"Q_NJFET_GDS";;;
34;"R1,R2,R3,R4,R5,R6,R19,R20,R29";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";9;"33K";;;
35;"R7,R8,R27,R33";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"100K";;;
36;"R9,R10,R13,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"2M7";;;
37;"R11,R12,R21,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"15K";;;
38;"R15,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"82K";;;
39;"R16,R18,R37";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"1M5";;;
40;"R23,R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"820K";;;
41;"R24,R25,R42,R43";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1M";;;
42;"R28,R36,R45,R46";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"10K";;;
43;"R30,R31,R38";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"330";;;
44;"R32";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"680K";;;
45;"R34";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4M7";;;
46;"R35,R40,R55";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"RLED";;;
47;"R39,R41";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"100";;;
48;"R44,R47";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"470K";;;
49;"R48,R49";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"2M2";;;
50;"R50,R51,R52,R53,R54";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"3K3";;;
51;"RV5,RV6";"Potentiometer_Runtron_RM-065_Vertical";2;"25K";;;
52;"U1,U8";"DIP-14_W7.62mm_Socket";2;"LM3900";;;
53;"U2,U3";"DIP-8_W7.62mm_Socket";2;"CA3080";;;
54;"U4,U5";"DIP-8_W7.62mm_Socket";2;"TL072";;;
55;"U7";"DIP-8_W7.62mm_Socket";1;"LM741";;;
