"Part";"Value";"Device";"Package";"Description";"POPULARITY";"SPICEPREFIX";
"C1";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C2";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C3";"0.1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C4";"0.1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C5";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C6";"0.1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C7";"0.1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C8";"200p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C9";"0.1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C10";"0.1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C11";"0.1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C12";"0.1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C13";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C14";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C15";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C16";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C17";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C18";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C19";"10p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C20";"20p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C21";"20p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C22";"20p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C23";"20p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"29";"C";
"C24";"22u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C25";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C26";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"C27";"10u";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"12";"C";
"CV_1";"OFFBOARD_JACK";"OFFBOARD_JACK";"OFFBOARD_JACK";"";"";"";
"CV_2";"OFFBOARD_JACK";"OFFBOARD_JACK";"OFFBOARD_JACK";"";"";"";
"CV_3";"OFFBOARD_JACK";"OFFBOARD_JACK";"OFFBOARD_JACK";"";"";"";
"D1";"0.2V";"DIODE-D-10";"D-10";"DIODE";"1";"";
"D2";"7.5V";"ZENER-DIODEDO41Z10";"DO41Z10";"Z-Diode";"8";"";
"IC1";"LF412N";"LF412N";"DIL08";"OP AMP";"0";"";
"IC2";"TL074P";"TL074P";"DIL14";"OP AMP";"0";"";
"IN_1";"OFFBOARD_JACK";"OFFBOARD_JACK";"OFFBOARD_JACK";"";"";"";
"IN_2";"OFFBOARD_JACK";"OFFBOARD_JACK";"OFFBOARD_JACK";"";"";"";
"J1";"PWR_CON";"MTA04-156";"1X4MTA";"AMP connector";"1";"";
"L1";"BEAD";"L-US0207/10";"0207/10";"INDUCTOR, American symbol";"6";"L";
"L2";"BEAD";"L-US0207/10";"0207/10";"INDUCTOR, American symbol";"6";"L";
"OUT_1";"OFFBOARD_JACK";"OFFBOARD_JACK";"OFFBOARD_JACK";"";"";"";
