"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**";"MountingHole_3.5mm";2;"MountingHole_3.5mm";;;
2;"REF**,REF**,REF**,REF**";"SolderWirePad_1x01_Drill0.8mm";4;"SolderWirePad_1x01_Drill0.8mm";;;
3;"R14,R3,R7,R8,R12,R13,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";7;"1k";;;
4;"Q1";"TO-92_Inline_Wide";1;"BC547";;;
5;"C1";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"47n";;;
6;"C2,C3";"CP_Radial_D5.0mm_P2.50mm";2;"10u";;;
7;"C4,C5,C6,C7";"C_Rect_L7.0mm_W2.5mm_P5.00mm";4;"100n";;;
8;"J1";"SolderWirePad_1x01_Drill1mm";1;"Pulse";;;
9;"J2";"SolderWirePad_1x01_Drill1mm";1;"F1";;;
10;"J4";"SolderWirePad_1x01_Drill1mm";1;"F3";;;
11;"J5";"SolderWirePad_1x01_Drill1mm";1;"Shape2";;;
12;"J6";"SolderWirePad_1x01_Drill1mm";1;"TRI/SAW";;;
13;"J7";"SolderWirePad_1x01_Drill1mm";1;"Var1";;;
14;"J8";"SolderWirePad_1x01_Drill1mm";1;"SQU";;;
15;"J9";"SolderWirePad_1x01_Drill1mm";1;"Var3";;;
16;"J10";"SolderWirePad_1x01_Drill1mm";1;"Var2";;;
17;"J11";"SolderWirePad_1x01_Drill1mm";1;"LEDA";;;
18;"J12";"SolderWirePad_1x01_Drill1mm";1;"Vari_Out";;;
19;"J13";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12v";;;
20;"J14";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND";;;
21;"J15";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12v";;;
22;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"150k";;;
23;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2k2";;;
24;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4k7";;;
25;"R5,R9,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"100k";;;
26;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
27;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47k";;;
28;"U1";"DIP-14_W7.62mm_Socket";1;"TL074";;;
29;"U2";"DIP-8_W7.62mm_Socket";1;"TL072";;;
