"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C7,C10,C11,C12,C13,C14,C15";"C_Rect_L7.0mm_W2.5mm_P5.00mm";10;"0.1uF";;;
2;"C4,C5,C6,C8,C9";"C_Rect_L7.0mm_W2.5mm_P5.00mm";5;"100pF";;;
3;"C16,C17";"CP_Radial_D4.0mm_P2.00mm";2;"10uF";;;
4;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N914";;;
5;"J1";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"AIN1";;;
6;"J2";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"AIN2";;;
7;"J3";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"AIN3";;;
8;"J4";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"CV1";;;
9;"J5";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"CV2";;;
10;"J6";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"CV3";;;
11;"J7";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"CO3";;;
12;"J8";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"CO2";;;
13;"J9";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"C01";;;
14;"J10";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"FOUT";;;
15;"J11";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"XRES";;;
16;"J12";"SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm";1;"+12V";;;
17;"J13";"SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm";1;"GND";;;
18;"J14";"SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm";1;"-12V";;;
19;"Q1,Q2,Q3,Q6";"TO-92_Inline_Wide";4;"2N3906";;;
20;"Q4,Q5";"TO-92_Inline_Wide";2;"2N3904";;;
21;"R1,R13,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"39K";;;
22;"R2,R19,R29,R39";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"20K";;;
23;"R3,R5,R9,R10,R11,R16,R20,R22,R26,R28,R31,R33,R40,R42,R44,R46,R49,R50,R52";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";19;"100K";;;
24;"R4,R21,R32,R41";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"100";;;
25;"R6,R7,R8,R36";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1M";;;
26;"R12,R23,R35,R37,R43";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"10K";;;
27;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"33K";;;
28;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"390K";;;
29;"R18,R34";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"2K";;;
30;"R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"475";;;
31;"R25";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4.7M";;;
32;"R27,R38";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"43K";;;
33;"R30";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47K";;;
34;"R45,R47";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"49.9K";;;
35;"R48,R57";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"120K";;;
36;"R51,R54,R56,R58";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"30K";;;
37;"R53";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"200K";;;
38;"R55";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K";;;
39;"R59";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4.7K";;;
40;"R60";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"150K";;;
41;"RV2";"Potentiometer_Runtron_RM-065_Vertical";1;"100";;;
42;"RV3";"SolderWire-0.75sqmm_1x03_P7mm_D1.25mm_OD3.5mm";1;"100K";;;
43;"U1";"DIP-14_W7.62mm_Socket";1;"TL084";;;
44;"U2,U5,U7";"DIP-16_W7.62mm_Socket";3;"LM13700";;;
45;"U3,U4,U6,U8";"DIP-8_W7.62mm_Socket";4;"TL082";;;
