"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"RV6,RV8,RV4";"Potentiometer_Runtron_RM-065_Vertical";3;"100K";;;
2;"RV9";"Potentiometer_Runtron_RM-065_Vertical";1;"1M";;;
3;"RV7,RV5";"Potentiometer_Runtron_RM-065_Vertical";2;"10K";;;
4;"RV3";"Potentiometer_Runtron_RM-065_Vertical";1;"100";;;
5;"R14,R3,R17,R25,R40";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"1M";;;
6;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
7;"C8,C9";"CP_Radial_D5.0mm_P2.50mm";2;"10uF";;;
8;"C13,C14";"CP_Radial_D4.0mm_P2.00mm";2;"1uF";;;
9;"J1";"SolderWirePad_1x01_Drill1mm";1;"CV1";;;
10;"J2";"SolderWirePad_1x01_Drill1mm";1;"CV2";;;
11;"J3";"SolderWirePad_1x01_Drill1mm";1;"CV3";;;
12;"J4";"SolderWirePad_1x01_Drill1mm";1;"CV4";;;
13;"J5";"SolderWirePad_1x01_Drill1mm";1;"LIN";;;
14;"J6";"SolderWirePad_1x01_Drill1mm";1;"SYNC";;;
15;"J7";"SolderWirePad_1x01_Drill1mm";1;"RMP";;;
16;"J8";"SolderWirePad_1x01_Drill1mm";1;"TRI";;;
17;"J9";"SolderWirePad_1x01_Drill1mm";1;"SIN";;;
18;"J10";"SolderWirePad_1x01_Drill1mm";1;"PWM_CV";;;
19;"J11";"SolderWirePad_1x01_Drill1mm";1;"SQU";;;
20;"J12";"SolderWirePad_1x01_Drill1mm";1;"RV1P2";;;
21;"J13";"SolderWirePad_1x01_Drill1mm";1;"RV2P2";;;
22;"J14";"SolderWirePad_1x01_Drill1mm";1;"RV1P1";;;
23;"J15";"SolderWirePad_1x01_Drill1mm";1;"RV2P1";;;
24;"J16";"SolderWirePad_1x01_Drill1mm";1;"RV2P3";;;
25;"J17";"SolderWirePad_1x01_Drill1mm";1;"RV1P3";;;
26;"J18";"SolderWirePad_1x01_Drill1mm";1;"RV10P3";;;
27;"J19";"SolderWirePad_1x01_Drill1mm";1;"RV10P1";;;
28;"J20";"SolderWirePad_1x01_Drill1mm";1;"RV10P2";;;
29;"J21";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_CONN";;;
30;"J22";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_CONN";;;
31;"J23";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_CONN";;;
32;"Q1";"DIP-8_W7.62mm_Socket";1;"SSM2210";;;
33;"R1,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"200k";;;
34;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
35;"R4,R5,R6,R7,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"100k";;;
36;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47k";;;
37;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2k";;;
38;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"475";;;
39;"R13,R18,R20,R27,R38,R45,R46";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";7;"100K";;;
40;"R15,R44,R50";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"4.7K";;;
41;"R16,R21,R23,R26,R29,R30,R35,R36,R47,R49";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";10;"10K";;;
42;"R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"18k";;;
43;"R22,R32,R33,R41,R43";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"1K";;;
44;"R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2K";;;
45;"R28";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47K";;;
46;"R31";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"470K";;;
47;"R34,R39";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"20K";;;
48;"R37";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"20k";;;
49;"R42";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"130K";;;
50;"R48";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10M";;;
51;"R51";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3K";;;
52;"U1";"DIP-8_W7.62mm_Socket";1;"OP275";;;
53;"U2,U5";"DIP-8_W7.62mm_Socket";2;"TL072";;;
54;"U3";"DIP-14_W7.62mm_Socket";1;"TL074";;;
55;"U4";"DIP-16_W7.62mm_Socket";1;"LM13700";;;
56;"U6";"DIP-8_W7.62mm_Socket";1;"TL071";;;
57;"C1,C2,C5";"C_Rect_L7.0mm_W2.5mm_P5.00mm";3;"100pF";;;
58;"C3";"C_Radial_D8.0mm_H7.0mm_P3.50mm";1;"0.005uF";;;
59;"C4";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.001uF";;;
60;"C6";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"4.7pF";;;
61;"C12";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.002uF";;;
62;"C15";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"10pF";;;
63;"D1,D2,D3,D4,D5,D6,D7,D8";"D_T-1_P5.08mm_Horizontal";8;"D";;;
64;"C7,C10,C11,C16,C17";"C_Rect_L7.0mm_W2.5mm_P5.00mm";5;"0.1uF";;;
65;"Q2";"TO-92L_Inline_Wide";1;"Q_PJFET_DSG";;;
