Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",31.201360,-27.429460,180.000000,top
"C2","100pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.150040,-34.551620,70.000000,top
"C4","0.001uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",60.314840,-23.157180,0.000000,top
"C5","100pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.075069,-28.805816,320.000000,top
"C6","4.7pF","C_0402_1005Metric",62.347106,-27.647414,140.000000,top
"C7","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",55.155789,-26.496092,110.000000,top
"C8","10uF","CP_Elec_5x5.4",38.663880,-61.589920,270.000000,top
"C9","10uF","CP_Elec_5x5.4",38.663880,-69.715380,270.000000,top
"C10","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.171812,-48.302577,270.000000,top
"C11","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.754591,-32.003347,120.000000,top
"C12","0.002uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",66.040603,-38.586401,190.000000,top
"C13","1uF","CP_Elec_4x5.4",44.058840,-58.282840,270.000000,top
"C14","1uF","CP_Elec_4x5.4",49.166780,-59.146440,270.000000,top
"C15","10pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",54.330793,-64.370095,270.000000,top
"C16","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",55.758277,-58.660173,90.000000,top
"C17","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.458295,-69.975874,270.000000,top
"D1","D","D_SOD-323F",42.882820,-27.879040,90.000000,top
"D2","D","D_SOD-323F",58.129941,-26.429805,320.000000,top
"D3","D","D_SOD-323F",69.496940,-39.463980,240.000000,top
"D4","D","D_SOD-323F",65.545619,-42.801575,280.000000,top
"D5","D","D_SOD-323F",64.673480,-48.950880,190.000000,top
"D6","D","D_SOD-323F",67.527640,-42.464755,280.000000,top
"D7","D","D_SOD-323F",65.046860,-50.970180,10.000000,top
"D8","D","D_SOD-323F",65.417700,-53.042820,190.000000,top
"R1","200k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",43.289219,-24.048719,270.000000,top
"R2","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",45.293279,-24.008080,270.000000,top
"R3","1M","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.203400,-28.387040,90.000000,top
"R4","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.030680,-31.991300,270.000000,top
"R5","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.549100,-24.254460,130.000000,top
"R6","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",26.774140,-24.206200,120.000000,top
"R7","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",29.718000,-24.188420,90.000000,top
"R8","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.169100,-24.236680,50.000000,top
"R9","200k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",49.156620,-23.969980,90.000000,top
"R10","47k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",47.165260,-24.003000,90.000000,top
"R12","475","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.558980,-21.777960,0.000000,top
"R13","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.035760,-52.275740,240.000000,top
"R14","1M","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",22.514560,-50.213260,270.000000,top
"R15","4.7K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",42.885360,-31.668720,90.000000,top
"R16","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.858789,-43.083625,280.000000,top
"R17","1M","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",38.910260,-31.716980,340.000000,top
"R18","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",46.759035,-32.200546,310.000000,top
"R19","18k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",48.312629,-30.463638,320.000000,top
"R20","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",56.883300,-23.136860,180.000000,top
"R21","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",61.531500,-33.850580,250.000000,top
"R22","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",60.645040,-24.884380,180.000000,top
"R23","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",53.218028,-27.596020,290.000000,top
"R24","2K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",53.111922,-23.947733,210.000000,top
"R25","1M","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",61.093434,-28.979472,320.000000,top
"R26","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",58.737500,-36.278820,50.000000,top
"R27","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",49.130315,-53.329545,90.000000,top
"R28","47K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",55.385395,-47.206993,0.000000,top
"R29","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",60.953205,-47.484001,10.000000,top
"R30","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",64.366128,-47.133546,190.000000,top
"R31","470K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",78.455241,-42.894741,240.000000,top
"R32","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",76.765501,-45.963691,240.000000,top
"R33","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",66.032133,-45.195136,190.000000,top
"R34","20K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",80.186660,-39.946636,240.000000,top
"R35","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",71.415918,-24.278112,300.000000,top
"R36","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",69.786494,-35.820097,190.000000,top
"R37","20k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",66.044109,-40.194906,10.000000,top
"R38","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",83.193872,-38.095871,240.000000,top
"R39","20K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",69.528194,-34.311749,190.000000,top
"R40","1M","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",73.173913,-50.421744,330.000000,top
"R41","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",63.412787,-37.031359,270.000000,top
"R42","130K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",74.459653,-48.225259,280.000000,top
"R43","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",70.298341,-55.255060,330.000000,top
"R44","4.7K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",72.668234,-53.045129,240.000000,top
"R45","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",53.378296,-61.880896,0.000000,top
"R46","100K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",59.306656,-58.213133,180.000000,top
"R47","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",59.316818,-59.790474,0.000000,top
"R48","10M","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",52.806795,-64.362473,90.000000,top
"R49","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",61.391993,-62.345711,270.000000,top
"R50","4.7K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",53.324955,-66.938030,180.000000,top
"R51","3K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",54.305398,-69.452631,270.000000,top
