Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.20136,-27.42946,180,top
C2,100pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.15004,-34.55162,70,top
C4,0.001uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,60.31484,-23.15718,0,top
C5,100pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,50.075069,-28.805816,320,top
C6,4.7pF,C_0402_1005Metric,62.347106,-27.647414,140,top
C7,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,55.155789,-26.496092,110,top
C8,10uF,CP_Elec_5x5.4,38.66388,-61.58992,270,top
C9,10uF,CP_Elec_5x5.4,38.66388,-69.71538,270,top
C10,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,58.171812,-48.302577,270,top
C11,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,64.754591,-32.003347,120,top
C12,0.002uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,66.040603,-38.586401,190,top
C13,1uF,CP_Elec_4x5.4,44.05884,-58.28284,270,top
C14,1uF,CP_Elec_4x5.4,49.16678,-59.14644,270,top
C15,10pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,54.330793,-64.370095,270,top
C16,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,55.758277,-58.660173,90,top
C17,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,58.458295,-69.975874,270,top
D1,D,D_SOD-323F,42.88282,-27.87904,90,top
D2,D,D_SOD-323F,58.129941,-26.429805,320,top
D3,D,D_SOD-323F,69.49694,-39.46398,240,top
D4,D,D_SOD-323F,65.545619,-42.801575,280,top
D5,D,D_SOD-323F,64.67348,-48.95088,190,top
D6,D,D_SOD-323F,67.52764,-42.464755,280,top
D7,D,D_SOD-323F,65.04686,-50.97018,10,top
D8,D,D_SOD-323F,65.4177,-53.04282,190,top
R1,200k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,43.289219,-24.048719,270,top
R2,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,45.293279,-24.00808,270,top
R3,1M,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.2034,-28.38704,90,top
R4,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.03068,-31.9913,270,top
R5,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,24.5491,-24.25446,130,top
R6,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,26.77414,-24.2062,120,top
R7,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,29.718,-24.18842,90,top
R8,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.1691,-24.23668,50,top
R9,200k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,49.15662,-23.96998,90,top
R10,47k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,47.16526,-24.003,90,top
R12,475,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,37.55898,-21.77796,0,top
R13,100K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.03576,-52.27574,240,top
R14,1M,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,22.51456,-50.21326,270,top
R15,4.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,42.88536,-31.66872,90,top
R16,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,34.858789,-43.083625,280,top
R17,1M,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,38.91026,-31.71698,340,top
