"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
2;"J14";"SolderWirePad_1x01_Drill1mm";1;"Vadj";;;
3;"C1,C2,C3,C4";"C_Rect_L7.0mm_W2.5mm_P5.00mm";4;"100p";;;
4;"C5";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.002u";;;
5;"C6";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.01u";;;
6;"C7";"CP_Radial_D4.0mm_P2.00mm";1;"1u";;;
7;"C8,C9";"CP_Radial_D6.3mm_P2.50mm";2;"10u";;;
8;"C10";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.1u";;;
9;"D1,D2,D3";"D_T-1_P5.08mm_Horizontal";3;"D";;;
10;"FB1,FB2";"L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC";2;"Ferrite";;;
11;"J1";"SolderWirePad_1x01_Drill1mm";1;"S1C";;;
12;"J2";"SolderWirePad_1x01_Drill1mm";1;"S2C";;;
13;"J3";"SolderWirePad_1x01_Drill1mm";1;"S1A";;;
14;"J4";"SolderWirePad_1x01_Drill1mm";1;"S1B";;;
15;"J5";"SolderWirePad_1x01_Drill1mm";1;"S2A";;;
16;"J6";"SolderWirePad_1x01_Drill1mm";1;"S2B";;;
17;"J7";"SolderWirePad_1x01_Drill1mm";1;"Vout";;;
18;"J8";"SolderWirePad_1x01_Drill1mm";1;"Vin_1";;;
19;"J9";"SolderWirePad_1x01_Drill1mm";1;"Vin_2";;;
20;"J10";"SolderWirePad_1x01_Drill1mm";1;"Vin_3";;;
21;"J11";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V";;;
22;"J12";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND";;;
23;"J13";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V";;;
24;"R1,R3,R4,R5,R6,R7,R8,R12,R19,R22,R23,R24,R25,R26,R27,R34,R38,R39";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";18;"200k";;;
25;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47k";;;
26;"R9,R10,R11,R31,R35";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"20k";;;
27;"R13,R14,R15,R16,R17,R28,R29,R30,R32,R33,R37,R40,R41,R42";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";14;"100k";;;
28;"R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
29;"R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3M";;;
30;"R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4k7";;;
31;"R36,R43";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"75k";;;
32;"RV1";"Potentiometer_Runtron_RM-065_Vertical";1;"10k";;;
33;"U1";"DIP-14_W7.62mm_Socket";1;"40106";;;
34;"U2,U3";"DIP-16_W7.62mm_Socket";2;"40193";;;
35;"U4";"DIP-14_W7.62mm_Socket";1;"TL084";;;
36;"U5";"DIP-8_W7.62mm_Socket";1;"TL071";;;
37;"U6";"DIP-14_W7.62mm_Socket";1;"4013";;;
38;"U7";"DIP-16_W7.62mm_Socket";1;"4042";;;
