"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"SolderWirePad_1x01_Drill1mm";14;"SolderWirePad_1x01_Drill1mm";;;
2;"C12,C10,C6,C3,C1";"CP_Radial_D5.0mm_P2.0mm_Bigger_Holes";5;"10u";;;
3;"REF**,REF**";"MountingHole_3.5mm";2;"MountingHole_3.5mm";;;
4;"R15,R16,R17,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1k";;;
5;"RV3,RV1";"Potentiometer_Alps_RK097_Single_Horizontal_NoClearance";2;"100k";;;
6;"Q1";"TO-92_Wide";1;"2N3904";;;
7;"U4";"DIP-8_W7.62mm_Socket";1;"TL072";;;
8;"C4,C5,C7,C8,C9,C11,C13";"C_Rect_L7.0mm_W2.5mm_P5.00mm";7;"100n";;;
9;"J1";"SolderWirePad_1x02_P3.81mm_Drill1.2mm";1;"+12V_Conn";;;
10;"J2";"SolderWirePad_1x02_P3.81mm_Drill1.2mm";1;"GN_Conn";;;
11;"J3";"SolderWirePad_1x02_P3.81mm_Drill1.2mm";1;"-12V_Conn";;;
12;"J4";"SolderWirePad_1x01_Drill1mm";1;"In_1";;;
13;"J5";"SolderWirePad_1x01_Drill1mm";1;"In_2";;;
14;"J6";"SolderWirePad_1x01_Drill1mm";1;"CK_CV";;;
15;"J7";"SolderWirePad_1x01_Drill1mm";1;"X1";;;
16;"J8";"SolderWirePad_1x01_Drill1mm";1;"A_In";;;
17;"J9";"SolderWirePad_1x01_Drill1mm";1;"L_Out";;;
18;"J10";"SolderWirePad_1x01_Drill1mm";1;"R_Out";;;
19;"J11";"SolderWirePad_1x01_Drill1mm";1;"Left";;;
20;"J12";"SolderWirePad_1x01_Drill1mm";1;"Right";;;
21;"J13";"SolderWirePad_1x01_Drill1mm";1;"CK_Pot";;;
22;"J14";"SolderWirePad_1x01_Drill1mm";1;"L1";;;
23;"J15";"SolderWirePad_1x01_Drill1mm";1;"R1";;;
24;"J16";"SolderWirePad_1x01_Drill1mm";1;"R3";;;
25;"J17";"SolderWirePad_1x01_Drill1mm";1;"L3";;;
26;"R1,R2,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"20k";;;
27;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1M";;;
28;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2M2";;;
29;"R7,R8,R9,R11,R12,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"10k";;;
30;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"33k";;;
31;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2k2";;;
32;"U1";"TO-220-3_Vertical";1;"L7805";;;
33;"U2";"DIP-8_W7.62mm_Socket";1;"TL071";;;
34;"U3";"DIP-16_W7.62mm_Socket";1;"PT2399";;;
